 v-sweep         dc1.v(Vout)     v-sweep         dc2.v(Vout)     v-sweep         dc3.v(Vout)    
 0.00000000e+00  4.15245324e-04  0.00000000e+00  1.06913556e-06  0.00000000e+00  7.21801845e-07 
 1.00000000e-03  4.24324111e-04  1.00000000e-03  1.08200134e-06  1.00000000e-03  7.21798020e-07 
 2.00000000e-03  4.33576226e-04  2.00000000e-03  1.09186433e-06  2.00000000e-03  7.21643995e-07 
 3.00000000e-03  4.43008265e-04  3.00000000e-03  1.10492438e-06  3.00000000e-03  7.21160908e-07 
 4.00000000e-03  4.52620926e-04  4.00000000e-03  1.11781674e-06  4.00000000e-03  7.21546991e-07 
 5.00000000e-03  4.62416053e-04  5.00000000e-03  1.13043950e-06  5.00000000e-03  7.21527546e-07 
 6.00000000e-03  4.72397325e-04  6.00000000e-03  1.14429792e-06  6.00000000e-03  7.21462788e-07 
 7.00000000e-03  4.82569783e-04  7.00000000e-03  1.15942705e-06  7.00000000e-03  7.21275358e-07 
 8.00000000e-03  4.92934389e-04  8.00000000e-03  1.17341861e-06  8.00000000e-03  7.22786641e-07 
 9.00000000e-03  5.03496611e-04  9.00000000e-03  1.18821738e-06  9.00000000e-03  7.22395187e-07 
 1.00000000e-02  5.14256914e-04  1.00000000e-02  1.20361337e-06  1.00000000e-02  7.22142477e-07 
 1.10000000e-02  5.25220462e-04  1.10000000e-02  1.22040862e-06  1.10000000e-02  7.22359807e-07 
 1.20000000e-02  5.36391840e-04  1.20000000e-02  1.23753617e-06  1.20000000e-02  7.22612548e-07 
 1.30000000e-02  5.47771001e-04  1.30000000e-02  1.25314727e-06  1.30000000e-02  7.22202266e-07 
 1.40000000e-02  5.59363381e-04  1.40000000e-02  1.27164525e-06  1.40000000e-02  7.22778531e-07 
 1.50000000e-02  5.71174593e-04  1.50000000e-02  1.28975941e-06  1.50000000e-02  7.22407858e-07 
 1.60000000e-02  5.83204619e-04  1.60000000e-02  1.30800786e-06  1.60000000e-02  7.22257776e-07 
 1.70000000e-02  5.95459936e-04  1.70000000e-02  1.32801216e-06  1.70000000e-02  7.23087569e-07 
 1.80000000e-02  6.07941851e-04  1.80000000e-02  1.34709895e-06  1.80000000e-02  7.22269086e-07 
 1.90000000e-02  6.20655116e-04  1.90000000e-02  1.36889025e-06  1.90000000e-02  7.22096252e-07 
 2.00000000e-02  6.33603862e-04  2.00000000e-02  1.39040970e-06  2.00000000e-02  7.22615491e-07 
 2.10000000e-02  6.46793204e-04  2.10000000e-02  1.41264094e-06  2.10000000e-02  7.23389355e-07 
 2.20000000e-02  6.60224374e-04  2.20000000e-02  1.43434653e-06  2.20000000e-02  7.23465588e-07 
 2.30000000e-02  6.73905153e-04  2.30000000e-02  1.45871912e-06  2.30000000e-02  7.22417750e-07 
 2.40000000e-02  6.87836359e-04  2.40000000e-02  1.48250532e-06  2.40000000e-02  7.22211584e-07 
 2.50000000e-02  7.02023775e-04  2.50000000e-02  1.50750863e-06  2.50000000e-02  7.23671693e-07 
 2.60000000e-02  7.16472243e-04  2.60000000e-02  1.53377440e-06  2.60000000e-02  7.23301944e-07 
 2.70000000e-02  7.31183506e-04  2.70000000e-02  1.56024521e-06  2.70000000e-02  7.23081469e-07 
 2.80000000e-02  7.46164097e-04  2.80000000e-02  1.58663598e-06  2.80000000e-02  7.23385975e-07 
 2.90000000e-02  7.61418998e-04  2.90000000e-02  1.61698439e-06  2.90000000e-02  7.23035144e-07 
 3.00000000e-02  7.76951548e-04  3.00000000e-02  1.64485536e-06  3.00000000e-02  7.23022101e-07 
 3.10000000e-02  7.92766096e-04  3.10000000e-02  1.67567749e-06  3.10000000e-02  7.23595387e-07 
 3.20000000e-02  8.08868993e-04  3.20000000e-02  1.70606759e-06  3.20000000e-02  7.23932766e-07 
 3.30000000e-02  8.25263927e-04  3.30000000e-02  1.73884794e-06  3.30000000e-02  7.24160908e-07 
 3.40000000e-02  8.41955886e-04  3.40000000e-02  1.77286853e-06  3.40000000e-02  7.23977382e-07 
 3.50000000e-02  8.58949635e-04  3.50000000e-02  1.80621631e-06  3.50000000e-02  7.23033144e-07 
 3.60000000e-02  8.76252093e-04  3.60000000e-02  1.84230714e-06  3.60000000e-02  7.24380854e-07 
 3.70000000e-02  8.93866858e-04  3.70000000e-02  1.87852331e-06  3.70000000e-02  7.23636034e-07 
 3.80000000e-02  9.11798324e-04  3.80000000e-02  1.91539135e-06  3.80000000e-02  7.24266386e-07 
 3.90000000e-02  9.30052792e-04  3.90000000e-02  1.95398620e-06  3.90000000e-02  7.24643245e-07 
 4.00000000e-02  9.48636670e-04  4.00000000e-02  1.99493575e-06  4.00000000e-02  7.24649588e-07 
 4.10000000e-02  9.67556365e-04  4.10000000e-02  2.03494602e-06  4.10000000e-02  7.24734814e-07 
 4.20000000e-02  9.86814681e-04  4.20000000e-02  2.07767810e-06  4.20000000e-02  7.24260003e-07 
 4.30000000e-02  1.00641831e-03  4.30000000e-02  2.12167193e-06  4.30000000e-02  7.24531834e-07 
 4.40000000e-02  1.02637401e-03  4.40000000e-02  2.16744166e-06  4.40000000e-02  7.25083784e-07 
 4.50000000e-02  1.04668661e-03  4.50000000e-02  2.21384022e-06  4.50000000e-02  7.25178803e-07 
 4.60000000e-02  1.06736364e-03  4.60000000e-02  2.26192178e-06  4.60000000e-02  7.24790395e-07 
 4.70000000e-02  1.08841080e-03  4.70000000e-02  2.31126189e-06  4.70000000e-02  7.24968039e-07 
 4.80000000e-02  1.10983428e-03  4.80000000e-02  2.36347840e-06  4.80000000e-02  7.25269465e-07 
 4.90000000e-02  1.13164119e-03  4.90000000e-02  2.41546776e-06  4.90000000e-02  7.25394804e-07 
 5.00000000e-02  1.15383628e-03  5.00000000e-02  2.47021331e-06  5.00000000e-02  7.24552706e-07 
 5.10000000e-02  1.17642831e-03  5.10000000e-02  2.52713135e-06  5.10000000e-02  7.25390994e-07 
 5.20000000e-02  1.19942203e-03  5.20000000e-02  2.58414495e-06  5.20000000e-02  7.25668435e-07 
 5.30000000e-02  1.22282666e-03  5.30000000e-02  2.64389912e-06  5.30000000e-02  7.25445478e-07 
 5.40000000e-02  1.24664814e-03  5.40000000e-02  2.70520444e-06  5.40000000e-02  7.25429434e-07 
 5.50000000e-02  1.27089356e-03  5.50000000e-02  2.76891777e-06  5.50000000e-02  7.25685817e-07 
 5.60000000e-02  1.29557193e-03  5.60000000e-02  2.83431326e-06  5.60000000e-02  7.25809044e-07 
 5.70000000e-02  1.32068894e-03  5.70000000e-02  2.90300027e-06  5.70000000e-02  7.26161783e-07 
 5.80000000e-02  1.34625261e-03  5.80000000e-02  2.97152681e-06  5.80000000e-02  7.25368182e-07 
 5.90000000e-02  1.37227028e-03  5.90000000e-02  3.04451408e-06  5.90000000e-02  7.25893675e-07 
 6.00000000e-02  1.39875178e-03  6.00000000e-02  3.11721723e-06  6.00000000e-02  7.26789852e-07 
 6.10000000e-02  1.42570288e-03  6.10000000e-02  3.19385496e-06  6.10000000e-02  7.26256885e-07 
 6.20000000e-02  1.45313356e-03  6.20000000e-02  3.27308173e-06  6.20000000e-02  7.26677273e-07 
 6.30000000e-02  1.48105187e-03  6.30000000e-02  3.35296729e-06  6.30000000e-02  7.26285785e-07 
 6.40000000e-02  1.50946586e-03  6.40000000e-02  3.43784549e-06  6.40000000e-02  7.26353099e-07 
 6.50000000e-02  1.53838539e-03  6.50000000e-02  3.52343773e-06  6.50000000e-02  7.26617851e-07 
 6.60000000e-02  1.56781767e-03  6.60000000e-02  3.61162452e-06  6.60000000e-02  7.27279016e-07 
 6.70000000e-02  1.59777500e-03  6.70000000e-02  3.70272305e-06  6.70000000e-02  7.27365274e-07 
 6.80000000e-02  1.62826351e-03  6.80000000e-02  3.79693408e-06  6.80000000e-02  7.27546911e-07 
 6.90000000e-02  1.65929339e-03  6.90000000e-02  3.89430065e-06  6.90000000e-02  7.27660810e-07 
 7.00000000e-02  1.69087473e-03  7.00000000e-02  3.99491377e-06  7.00000000e-02  7.27814392e-07 
 7.10000000e-02  1.72301741e-03  7.10000000e-02  4.09687400e-06  7.10000000e-02  7.27741228e-07 
 7.20000000e-02  1.75573165e-03  7.20000000e-02  4.20374630e-06  7.20000000e-02  7.27839955e-07 
 7.30000000e-02  1.78902840e-03  7.30000000e-02  4.31313656e-06  7.30000000e-02  7.28178582e-07 
 7.40000000e-02  1.82291758e-03  7.40000000e-02  4.42474616e-06  7.40000000e-02  7.27890178e-07 
 7.50000000e-02  1.85740962e-03  7.50000000e-02  4.54165815e-06  7.50000000e-02  7.28497704e-07 
 7.60000000e-02  1.89251558e-03  7.60000000e-02  4.66140350e-06  7.60000000e-02  7.28062373e-07 
 7.70000000e-02  1.92824753e-03  7.70000000e-02  4.78525827e-06  7.70000000e-02  7.28181096e-07 
 7.80000000e-02  1.96461491e-03  7.80000000e-02  4.91153813e-06  7.80000000e-02  7.28711399e-07 
 7.90000000e-02  2.00163171e-03  7.90000000e-02  5.04272084e-06  7.90000000e-02  7.28527367e-07 
 8.00000000e-02  2.03930823e-03  8.00000000e-02  5.17612221e-06  8.00000000e-02  7.29179304e-07 
 8.10000000e-02  2.07765718e-03  8.10000000e-02  5.31657621e-06  8.10000000e-02  7.28528905e-07 
 8.20000000e-02  2.11669146e-03  8.20000000e-02  5.45936056e-06  8.20000000e-02  7.28542525e-07 
 8.30000000e-02  2.15642353e-03  8.30000000e-02  5.60776150e-06  8.30000000e-02  7.28687433e-07 
 8.40000000e-02  2.19686512e-03  8.40000000e-02  5.75949748e-06  8.40000000e-02  7.28897359e-07 
 8.50000000e-02  2.23803048e-03  8.50000000e-02  5.91413496e-06  8.50000000e-02  7.28977840e-07 
 8.60000000e-02  2.27993358e-03  8.60000000e-02  6.07514905e-06  8.60000000e-02  7.29639902e-07 
 8.70000000e-02  2.32258785e-03  8.70000000e-02  6.24073199e-06  8.70000000e-02  7.29292355e-07 
 8.80000000e-02  2.36600714e-03  8.80000000e-02  6.41141791e-06  8.80000000e-02  7.29520018e-07 
 8.90000000e-02  2.41020555e-03  8.90000000e-02  6.58715081e-06  8.90000000e-02  7.30491666e-07 
 9.00000000e-02  2.45519806e-03  9.00000000e-02  6.76794008e-06  9.00000000e-02  7.29748274e-07 
 9.10000000e-02  2.50100081e-03  9.10000000e-02  6.95443933e-06  9.10000000e-02  7.30155117e-07 
 9.20000000e-02  2.54762828e-03  9.20000000e-02  7.14510834e-06  9.20000000e-02  7.30115171e-07 
 9.30000000e-02  2.59509523e-03  9.30000000e-02  7.34290131e-06  9.30000000e-02  7.29869727e-07 
 9.40000000e-02  2.64341859e-03  9.40000000e-02  7.54620169e-06  9.40000000e-02  7.29888393e-07 
 9.50000000e-02  2.69261658e-03  9.50000000e-02  7.75483498e-06  9.50000000e-02  7.30844929e-07 
 9.60000000e-02  2.74270294e-03  9.60000000e-02  7.97127718e-06  9.60000000e-02  7.30774336e-07 
 9.70000000e-02  2.79369750e-03  9.70000000e-02  8.19210674e-06  9.70000000e-02  7.30089376e-07 
 9.80000000e-02  2.84561653e-03  9.80000000e-02  8.42007635e-06  9.80000000e-02  7.31172255e-07 
 9.90000000e-02  2.89847740e-03  9.90000000e-02  8.65413028e-06  9.90000000e-02  7.31224286e-07 
 1.00000000e-01  2.95229983e-03  1.00000000e-01  8.89614267e-06  1.00000000e-01  7.31908906e-07 
 1.01000000e-01  3.00710289e-03  1.01000000e-01  9.14475058e-06  1.01000000e-01  7.31001514e-07 
 1.02000000e-01  3.06290358e-03  1.02000000e-01  9.40040704e-06  1.02000000e-01  7.31435691e-07 
 1.03000000e-01  3.11972381e-03  1.03000000e-01  9.66358002e-06  1.03000000e-01  7.32322138e-07 
 1.04000000e-01  3.17758404e-03  1.04000000e-01  9.93471158e-06  1.04000000e-01  7.32851839e-07 
