 frequency       db(v(Vout))     180*cph(v(Vout))/pi
 1.00000000e+00 -1.48562223e-01 -8.45513872e-05 
 1.12201845e+00 -1.48562223e-01 -9.48682167e-05 
 1.25892541e+00 -1.48562223e-01 -1.06443890e-04 
 1.41253754e+00 -1.48562223e-01 -1.19432009e-04 
 1.58489319e+00 -1.48562223e-01 -1.34004918e-04 
 1.77827941e+00 -1.48562223e-01 -1.50355991e-04 
 1.99526231e+00 -1.48562223e-01 -1.68702196e-04 
 2.23872114e+00 -1.48562223e-01 -1.89286978e-04 
 2.51188643e+00 -1.48562223e-01 -2.12383482e-04 
 2.81838293e+00 -1.48562223e-01 -2.38298186e-04 
 3.16227766e+00 -1.48562223e-01 -2.67374963e-04 
 3.54813389e+00 -1.48562223e-01 -2.99999642e-04 
 3.98107171e+00 -1.48562223e-01 -3.36605135e-04 
 4.46683592e+00 -1.48562223e-01 -3.77677173e-04 
 5.01187234e+00 -1.48562223e-01 -4.23760758e-04 
 5.62341325e+00 -1.48562223e-01 -4.75467391e-04 
 6.30957344e+00 -1.48562223e-01 -5.33483187e-04 
 7.07945784e+00 -1.48562223e-01 -5.98577981e-04 
 7.94328235e+00 -1.48562223e-01 -6.71615541e-04 
 8.91250938e+00 -1.48562223e-01 -7.53565031e-04 
 1.00000000e+01 -1.48562223e-01 -8.45513872e-04 
 1.12201845e+01 -1.48562224e-01 -9.48682167e-04 
 1.25892541e+01 -1.48562224e-01 -1.06443890e-03 
 1.41253754e+01 -1.48562224e-01 -1.19432009e-03 
 1.58489319e+01 -1.48562225e-01 -1.34004918e-03 
 1.77827941e+01 -1.48562225e-01 -1.50355991e-03 
 1.99526231e+01 -1.48562226e-01 -1.68702196e-03 
 2.23872114e+01 -1.48562227e-01 -1.89286978e-03 
 2.51188643e+01 -1.48562228e-01 -2.12383482e-03 
 2.81838293e+01 -1.48562229e-01 -2.38298186e-03 
 3.16227766e+01 -1.48562231e-01 -2.67374963e-03 
 3.54813389e+01 -1.48562233e-01 -2.99999642e-03 
 3.98107171e+01 -1.48562236e-01 -3.36605135e-03 
 4.46683592e+01 -1.48562240e-01 -3.77677173e-03 
 5.01187234e+01 -1.48562244e-01 -4.23760758e-03 
 5.62341325e+01 -1.48562250e-01 -4.75467390e-03 
 6.30957344e+01 -1.48562257e-01 -5.33483186e-03 
 7.07945784e+01 -1.48562266e-01 -5.98577979e-03 
 7.94328235e+01 -1.48562277e-01 -6.71615538e-03 
 8.91250938e+01 -1.48562291e-01 -7.53565028e-03 
 1.00000000e+02 -1.48562309e-01 -8.45513866e-03 
 1.12201845e+02 -1.48562331e-01 -9.48682160e-03 
 1.25892541e+02 -1.48562359e-01 -1.06443889e-02 
 1.41253754e+02 -1.48562394e-01 -1.19432007e-02 
 1.58489319e+02 -1.48562439e-01 -1.34004916e-02 
 1.77827941e+02 -1.48562495e-01 -1.50355988e-02 
 1.99526231e+02 -1.48562565e-01 -1.68702192e-02 
 2.23872114e+02 -1.48562654e-01 -1.89286972e-02 
 2.51188643e+02 -1.48562766e-01 -2.12383474e-02 
 2.81838293e+02 -1.48562907e-01 -2.38298175e-02 
 3.16227766e+02 -1.48563084e-01 -2.67374946e-02 
 3.54813389e+02 -1.48563307e-01 -2.99999619e-02 
 3.98107171e+02 -1.48563587e-01 -3.36605102e-02 
 4.46683592e+02 -1.48563941e-01 -3.77677126e-02 
 5.01187234e+02 -1.48564386e-01 -4.23760691e-02 
