v-sweep,v(Vout)
0.00000000e+00,1.79999999e+00
1.00000000e-02,1.79999999e+00
2.00000000e-02,1.79999999e+00
3.00000000e-02,1.79999999e+00
4.00000000e-02,1.79999999e+00
5.00000000e-02,1.79999999e+00
6.00000000e-02,1.79999999e+00
7.00000000e-02,1.79999999e+00
8.00000000e-02,1.79999999e+00
9.00000000e-02,1.79999998e+00
1.00000000e-01,1.79999998e+00
1.10000000e-01,1.79999998e+00
1.20000000e-01,1.79999997e+00
1.30000000e-01,1.79999997e+00
1.40000000e-01,1.79999996e+00
1.50000000e-01,1.79999995e+00
1.60000000e-01,1.79999994e+00
1.70000000e-01,1.79999992e+00
1.80000000e-01,1.79999990e+00
1.90000000e-01,1.79999988e+00
2.00000000e-01,1.79999984e+00
2.10000000e-01,1.79999980e+00
2.20000000e-01,1.79999974e+00
2.30000000e-01,1.79999967e+00
2.40000000e-01,1.79999958e+00
2.50000000e-01,1.79999946e+00
2.60000000e-01,1.79999931e+00
2.70000000e-01,1.79999911e+00
2.80000000e-01,1.79999885e+00
2.90000000e-01,1.79999852e+00
3.00000000e-01,1.79999810e+00
3.10000000e-01,1.79999755e+00
3.20000000e-01,1.79999685e+00
3.30000000e-01,1.79999594e+00
3.40000000e-01,1.79999476e+00
3.50000000e-01,1.79999325e+00
3.60000000e-01,1.79999130e+00
3.70000000e-01,1.79998878e+00
3.80000000e-01,1.79998554e+00
3.90000000e-01,1.79998136e+00
4.00000000e-01,1.79997597e+00
4.10000000e-01,1.79996903e+00
4.20000000e-01,1.79996008e+00
4.30000000e-01,1.79994856e+00
4.40000000e-01,1.79993372e+00
4.50000000e-01,1.79991463e+00
4.60000000e-01,1.79989007e+00
4.70000000e-01,1.79985850e+00
4.80000000e-01,1.79981794e+00
4.90000000e-01,1.79976587e+00
5.00000000e-01,1.79969911e+00
5.10000000e-01,1.79961358e+00
5.20000000e-01,1.79950415e+00
5.30000000e-01,1.79936433e+00
5.40000000e-01,1.79918597e+00
5.50000000e-01,1.79895883e+00
5.60000000e-01,1.79867014e+00
5.70000000e-01,1.79830400e+00
5.80000000e-01,1.79784074e+00
5.90000000e-01,1.79725609e+00
6.00000000e-01,1.79652034e+00
6.10000000e-01,1.79559721e+00
6.20000000e-01,1.79444272e+00
6.30000000e-01,1.79300376e+00
6.40000000e-01,1.79121662e+00
6.50000000e-01,1.78900514e+00
6.60000000e-01,1.78627871e+00
6.70000000e-01,1.78292974e+00
6.80000000e-01,1.77883065e+00
6.90000000e-01,1.77382993e+00
7.00000000e-01,1.76774678e+00
7.10000000e-01,1.76036352e+00
7.20000000e-01,1.75141430e+00
7.30000000e-01,1.74056745e+00
7.40000000e-01,1.72739674e+00
7.50000000e-01,1.71133163e+00
7.60000000e-01,1.69156527e+00
7.70000000e-01,1.66686777e+00
7.80000000e-01,1.63515114e+00
7.90000000e-01,1.59228827e+00
8.00000000e-01,1.52832940e+00
8.10000000e-01,1.42621669e+00
8.20000000e-01,1.29902311e+00
8.30000000e-01,1.16660277e+00
8.40000000e-01,1.03429077e+00
8.50000000e-01,9.04009938e-01
8.60000000e-01,7.76727416e-01
8.70000000e-01,6.53055296e-01
8.80000000e-01,5.33571339e-01
8.90000000e-01,4.19189490e-01
9.00000000e-01,3.11994891e-01
9.10000000e-01,2.17871173e-01
9.20000000e-01,1.50786443e-01
9.30000000e-01,1.14413153e-01
9.40000000e-01,9.33049346e-02
9.50000000e-01,7.88577619e-02
9.60000000e-01,6.79857065e-02
9.70000000e-01,5.93533234e-02
9.80000000e-01,5.22644887e-02
9.90000000e-01,4.63075566e-02
1.00000000e+00,4.12172209e-02
1.01000000e+00,3.68116824e-02
1.02000000e+00,3.29605707e-02
1.03000000e+00,2.95670896e-02
1.04000000e+00,2.65573478e-02
1.05000000e+00,2.38736833e-02
1.06000000e+00,2.14702560e-02
1.07000000e+00,1.93100531e-02
1.08000000e+00,1.73627867e-02
1.09000000e+00,1.56033796e-02
1.10000000e+00,1.40108505e-02
1.11000000e+00,1.25674771e-02
1.12000000e+00,1.12581572e-02
1.13000000e+00,1.00699134e-02
1.14000000e+00,8.99150411e-03
1.15000000e+00,8.01311329e-03
1.16000000e+00,7.12610229e-03
1.17000000e+00,6.32280713e-03
1.18000000e+00,5.59637309e-03
1.19000000e+00,4.94061849e-03
1.20000000e+00,4.34992212e-03
1.21000000e+00,3.81913034e-03
1.22000000e+00,3.34348077e-03
1.23000000e+00,2.91854026e-03
1.24000000e+00,2.54015551e-03
1.25000000e+00,2.20441482e-03
1.26000000e+00,1.90761983e-03
1.27000000e+00,1.64626619e-03
1.28000000e+00,1.41703167e-03
1.29000000e+00,1.21677081e-03
1.30000000e+00,1.04251423e-03
1.31000000e+00,8.91471479e-04
1.32000000e+00,7.61035568e-04
1.33000000e+00,6.48787873e-04
1.34000000e+00,5.52502064e-04
1.35000000e+00,4.70146047e-04
1.36000000e+00,3.99881222e-04
1.37000000e+00,3.40058750e-04
1.38000000e+00,2.89212848e-04
1.39000000e+00,2.46051402e-04
1.40000000e+00,2.09444418e-04
1.41000000e+00,1.78410925e-04
1.42000000e+00,1.52104962e-04
1.43000000e+00,1.29801288e-04
1.44000000e+00,1.10881303e-04
1.45000000e+00,9.48196182e-05
1.46000000e+00,8.11715507e-05
1.47000000e+00,6.95617360e-05
