 v-sweep         v(Vout)        
 0.00000000e+00  0.00000000e+00 
 1.00000000e-02  5.02081551e-03 
 2.00000000e-02  1.00416310e-02 
 3.00000000e-02  1.50624465e-02 
 4.00000000e-02  2.00832620e-02 
 5.00000000e-02  2.51040775e-02 
 6.00000000e-02  3.01248930e-02 
 7.00000000e-02  3.51457085e-02 
 8.00000000e-02  4.01665241e-02 
 9.00000000e-02  4.51873396e-02 
 1.00000000e-01  5.02081551e-02 
 1.10000000e-01  5.52289706e-02 
 1.20000000e-01  6.02497861e-02 
 1.30000000e-01  6.52706016e-02 
 1.40000000e-01  7.02914171e-02 
 1.50000000e-01  7.53122326e-02 
 1.60000000e-01  8.03330481e-02 
 1.70000000e-01  8.53538636e-02 
 1.80000000e-01  9.03746791e-02 
 1.90000000e-01  9.53954946e-02 
 2.00000000e-01  1.00416310e-01 
 2.10000000e-01  1.05437126e-01 
 2.20000000e-01  1.10457941e-01 
 2.30000000e-01  1.15478757e-01 
 2.40000000e-01  1.20499572e-01 
 2.50000000e-01  1.25520388e-01 
 2.60000000e-01  1.30541203e-01 
 2.70000000e-01  1.35562019e-01 
 2.80000000e-01  1.40582834e-01 
 2.90000000e-01  1.45603650e-01 
 3.00000000e-01  1.50624465e-01 
 3.10000000e-01  1.55645281e-01 
 3.20000000e-01  1.60666096e-01 
 3.30000000e-01  1.65686912e-01 
 3.40000000e-01  1.70707727e-01 
 3.50000000e-01  1.75728543e-01 
 3.60000000e-01  1.80749358e-01 
 3.70000000e-01  1.85770174e-01 
 3.80000000e-01  1.90790989e-01 
 3.90000000e-01  1.95811805e-01 
 4.00000000e-01  2.00832620e-01 
 4.10000000e-01  2.05853436e-01 
 4.20000000e-01  2.10874251e-01 
 4.30000000e-01  2.15895067e-01 
 4.40000000e-01  2.20915882e-01 
 4.50000000e-01  2.25936698e-01 
 4.60000000e-01  2.30957513e-01 
 4.70000000e-01  2.35978329e-01 
 4.80000000e-01  2.40999144e-01 
 4.90000000e-01  2.46019960e-01 
 5.00000000e-01  2.51040775e-01 
 5.10000000e-01  2.56061591e-01 
 5.20000000e-01  2.61082406e-01 
 5.30000000e-01  2.66103222e-01 
 5.40000000e-01  2.71124037e-01 
 5.50000000e-01  2.76144853e-01 
 5.60000000e-01  2.81165668e-01 
 5.70000000e-01  2.86186484e-01 
 5.80000000e-01  2.91207299e-01 
 5.90000000e-01  2.96228115e-01 
 6.00000000e-01  3.01248930e-01 
 6.10000000e-01  3.06269746e-01 
 6.20000000e-01  3.11290561e-01 
 6.30000000e-01  3.16311377e-01 
 6.40000000e-01  3.21332192e-01 
 6.50000000e-01  3.26353008e-01 
 6.60000000e-01  3.31373823e-01 
 6.70000000e-01  3.36394639e-01 
 6.80000000e-01  3.41415454e-01 
 6.90000000e-01  3.46436270e-01 
 7.00000000e-01  3.51457085e-01 
 7.10000000e-01  3.56477901e-01 
 7.20000000e-01  3.61498716e-01 
 7.30000000e-01  3.66519532e-01 
 7.40000000e-01  3.71540348e-01 
 7.50000000e-01  3.76561163e-01 
 7.60000000e-01  3.81581979e-01 
 7.70000000e-01  3.86602794e-01 
 7.80000000e-01  3.91623610e-01 
 7.90000000e-01  3.96644425e-01 
 8.00000000e-01  4.01665241e-01 
 8.10000000e-01  4.06686056e-01 
 8.20000000e-01  4.11706872e-01 
 8.30000000e-01  4.16727687e-01 
 8.40000000e-01  4.21748503e-01 
 8.50000000e-01  4.26769318e-01 
 8.60000000e-01  4.31790134e-01 
 8.70000000e-01  4.36810949e-01 
 8.80000000e-01  4.41831765e-01 
 8.90000000e-01  4.46852580e-01 
 9.00000000e-01  4.51873396e-01 
 9.10000000e-01  4.56894211e-01 
 9.20000000e-01  4.61915027e-01 
 9.30000000e-01  4.66935842e-01 
 9.40000000e-01  4.71956658e-01 
 9.50000000e-01  4.76977473e-01 
 9.60000000e-01  4.81998289e-01 
 9.70000000e-01  4.87019104e-01 
 9.80000000e-01  4.92039920e-01 
 9.90000000e-01  4.97060735e-01 
 1.00000000e+00  5.02081551e-01 
