v-sweep,v(Vout)
0.00000000e+00,0.00000000e+00
1.00000000e-02,4.98007156e-03
2.00000000e-02,9.96014312e-03
3.00000000e-02,1.49402147e-02
4.00000000e-02,1.99202862e-02
5.00000000e-02,2.49003578e-02
6.00000000e-02,2.98804293e-02
7.00000000e-02,3.48605009e-02
8.00000000e-02,3.98405725e-02
9.00000000e-02,4.48206440e-02
1.00000000e-01,4.98007156e-02
1.10000000e-01,5.47807871e-02
1.20000000e-01,5.97608587e-02
1.30000000e-01,6.47409303e-02
1.40000000e-01,6.97210018e-02
1.50000000e-01,7.47010734e-02
1.60000000e-01,7.96811449e-02
1.70000000e-01,8.46612165e-02
1.80000000e-01,8.96412880e-02
1.90000000e-01,9.46213596e-02
2.00000000e-01,9.96014312e-02
2.10000000e-01,1.04581503e-01
2.20000000e-01,1.09561574e-01
2.30000000e-01,1.14541646e-01
2.40000000e-01,1.19521717e-01
2.50000000e-01,1.24501789e-01
2.60000000e-01,1.29481861e-01
2.70000000e-01,1.34461932e-01
2.80000000e-01,1.39442004e-01
2.90000000e-01,1.44422075e-01
3.00000000e-01,1.49402147e-01
3.10000000e-01,1.54382218e-01
3.20000000e-01,1.59362290e-01
3.30000000e-01,1.64342361e-01
3.40000000e-01,1.69322433e-01
3.50000000e-01,1.74302505e-01
3.60000000e-01,1.79282576e-01
3.70000000e-01,1.84262648e-01
3.80000000e-01,1.89242719e-01
3.90000000e-01,1.94222791e-01
4.00000000e-01,1.99202862e-01
4.10000000e-01,2.04182934e-01
4.20000000e-01,2.09163005e-01
4.30000000e-01,2.14143077e-01
4.40000000e-01,2.19123149e-01
4.50000000e-01,2.24103220e-01
4.60000000e-01,2.29083292e-01
4.70000000e-01,2.34063363e-01
4.80000000e-01,2.39043435e-01
4.90000000e-01,2.44023506e-01
5.00000000e-01,2.49003578e-01
5.10000000e-01,2.53983649e-01
5.20000000e-01,2.58963721e-01
5.30000000e-01,2.63943793e-01
5.40000000e-01,2.68923864e-01
5.50000000e-01,2.73903936e-01
5.60000000e-01,2.78884007e-01
5.70000000e-01,2.83864079e-01
5.80000000e-01,2.88844150e-01
5.90000000e-01,2.93824222e-01
6.00000000e-01,2.98804293e-01
6.10000000e-01,3.03784365e-01
6.20000000e-01,3.08764437e-01
6.30000000e-01,3.13744508e-01
6.40000000e-01,3.18724580e-01
6.50000000e-01,3.23704651e-01
6.60000000e-01,3.28684723e-01
6.70000000e-01,3.33664794e-01
6.80000000e-01,3.38644866e-01
6.90000000e-01,3.43624938e-01
7.00000000e-01,3.48605009e-01
7.10000000e-01,3.53585081e-01
7.20000000e-01,3.58565152e-01
7.30000000e-01,3.63545224e-01
7.40000000e-01,3.68525295e-01
7.50000000e-01,3.73505367e-01
7.60000000e-01,3.78485438e-01
7.70000000e-01,3.83465510e-01
7.80000000e-01,3.88445582e-01
7.90000000e-01,3.93425653e-01
8.00000000e-01,3.98405725e-01
8.10000000e-01,4.03385796e-01
8.20000000e-01,4.08365868e-01
8.30000000e-01,4.13345939e-01
8.40000000e-01,4.18326011e-01
8.50000000e-01,4.23306082e-01
8.60000000e-01,4.28286154e-01
8.70000000e-01,4.33266226e-01
8.80000000e-01,4.38246297e-01
8.90000000e-01,4.43226369e-01
9.00000000e-01,4.48206440e-01
9.10000000e-01,4.53186512e-01
9.20000000e-01,4.58166583e-01
9.30000000e-01,4.63146655e-01
9.40000000e-01,4.68126726e-01
9.50000000e-01,4.73106798e-01
9.60000000e-01,4.78086870e-01
9.70000000e-01,4.83066941e-01
9.80000000e-01,4.88047013e-01
9.90000000e-01,4.93027084e-01
1.00000000e+00,4.98007156e-01
